T=0.31622776601683794
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 0.000000e+00
6.500000 0.000000e+00
7.500000 0.000000e+00
8.500000 0.000000e+00
9.500000 0.000000e+00
10.500000 0.000000e+00
11.500000 0.000000e+00
12.500000 0.000000e+00
13.500000 0.000000e+00
14.500000 0.000000e+00
15.500000 0.000000e+00
16.500000 0.000000e+00
17.500000 0.000000e+00
18.500000 0.000000e+00
19.500000 0.000000e+00
20.500000 0.000000e+00
21.500000 0.000000e+00
22.500000 0.000000e+00
23.500000 0.000000e+00
24.500000 0.000000e+00
25.500000 0.000000e+00
26.500000 0.000000e+00
27.500000 0.000000e+00
28.500000 0.000000e+00
29.500000 0.000000e+00
